GRAPH,TAG,LEM,ORTH
par essence,ADV,,
par excellence,ADV,,
par exemple,ADV,,
par hasard,ADV,,
par là,ADV,,
par l’intermédiaire de,PREP,,
par manque de,PREP,,
par mégarde,ADV,,
par opposition à,PREP,par opposition à,
par opposition au,PREP,par opposition à,
par opposition aux,PREP,par opposition à,
par préférence à,PREP,par préférence à,
par préférence au,PREP,par préférence à,
par préférence aux,PREP,par préférence à,
par rapport à,PREP,par rapport à,
par rapport au,PREP,par rapport à,
par rapport aux,PREP,par rapport à,
par suite,ADVconj,,
par suite de,PREP,,
par surcroît,ADVdeg,,
parce que,CONJsub,,
parole d'honneur,SUB,,
part time,SUB,,
parti pris,,,parti-pris
pas plus que,PREP,,
pas plus tard que,PREP,,
paso doble,SUB,,
pater familias,SUB,,
pater noster,SUB,,
pauvre diable,SUB,,
pax americana,SUB,,
pendant que,CONJsub,,
persona grata,ADJ,,
persona non grata,SUB,,
peu à peu,ADV,,
peu de,DETindef,,
peu de chose,SUB,,
peu ou prou,ADV,,
photo d'identité,SUB,,
pied de grue,SUB,,
pied de lit,SUB,,
pieds de haut,SUB,,
pieds de lit,SUB,,
pit bull,SUB,,
plaque d'immatriculation,SUB,,
play back,SUB,,
plein air,SUB,,
plus tard,ADV,,
plutôt deux fois que une,ADV,,
poignée de main,SUB,,
poignées de main,SUB,,
point de vue,SUB,,
points de vue,SUB,point de vue,
pom-pom girl,SUB,,
pom-pom girls,SUB,,
pomme de terre,SUB,,
pommes de terre,SUB,,
pompes funèbres,SUB,,
pon point,SUB,,
porte cochère,SUB,,
porte d’entrée,SUB,,
porte de derrière,SUB,,
porter à croire,VERB,,
poser question,VERB,,
poser des questions,VERB,poser question,
poser la question,VERB,poser question,
poser une question,VERB,poser question,
post it,SUB,,
post mortem,ADV,,
pour autant que,PREP,,
pour ce qui est de,PREP,,
pour cette fois,ADV,,
pour des prunes,PREP,,
pour ma part,PREP,,
pour sa part,PREP,,
pour ta part,PREP,,
pour que,CONJsub,,
pour tout,PREP,,
pour un peu,PREP,,
pour une bonne part,ADV,,
pour une fois,ADVconj,,
pour une fois que,CONJsub,,
premier âge,SUB,,
premier consul,SUB,,
premier ministre,,,Premier ministre
Premier ministre,SUB,,
premier plan,SUB,,
prendre au sérieux,VERB,,
prendre contact,VERB,,
prendre conscience,VERB,,
prendre du plaisir,VERB,,
prendre en charge,VERB,,
prendre en exemple,VERB,,
prendre en compte,VERB,,
prendre exemple,VERB,,
prendre garde,VERB,,
prendre l’air,VERB,,
prendre la peine,VERB,,
prendre le soin de,VERB,,
prendre part,VERB,,
prendre parti,VERB,,
prendre place,VERB,,
prendre position,VERB,,
prendre ses jambes à son cou,VERB,,
prendre soin,VERB,,
près de,PREP,,
presse écrite,SUB,,
prêt à,PREP,,
prime time,SUB,,
prise de conscience,SUB,,
prix Nobel,SUB,,
proche de,PREP,,
procureur du roi,SUB,,
proprement dit,ADV,,
proprement dite,ADV,,
proprement dites,ADV,,
proprement dits,ADV,,
public schools,SUB,,
punching ball,SUB,,
qu'est-ce que,ADV,,
quand et quand,PREP,,
quand même,ADV,,
quant à,PREP,quant à,
quant au,PREP,quant à,
quant aux,PREP,quant à,
quart d'heure,SUB,,
quartier général,SUB,,
que le diable l'emporte,EXCL,,
quel que soit,PREP,,
quelque chose,PROindef,,
quelque part,ADV,,
qui aime bien châtie bien,SUB,,
qui plus est,ADVconj,,
qui que,CONJsub,,
quoi qu’il en fût,PREP,,
quoi que,CONJsub,,
raison d'état,SUB,,
raisons d'état,SUB,raison d'état,
rapport sexuel,SUB,,
rapports sexuels,SUB,,
recto tono,ADV,,
red river,SUB,,
rédacteur en chef,SUB,,
rédactrice en chef,SUB,rédacteur en chef,
reine mère,SUB,,
relation sexuelle,SUB,,
relations sexuelles,SUB,,
remettre en question,VERB,,
rendez vous,,,rendez-vous
rendre compte,VERB,,
rendre grâce,VERB,,
rendre hommage,VERB,,
rendre justice,VERB,,
rendre service,VERB,,
rendre un service,VERB,,
rendre visite,VERB,,
répétition générale,SUB,,
requiescat in pace,SUB,,
révérende mère,SUB,,
rhythm and blues,SUB,,
ric et rac,ADV,,
roast beef,SUB,,
robe de chambre,SUB,,
rocking chair,SUB,,
rouge à lèvres,SUB,,
s’agir,VERB,,
s’en tenir à,VERB,s’en tenir à,
s’en tenir au,VERB,s’en tenir à,
s’en tenir aux,VERB,s’en tenir à,
s’agissant de,PREP,,
sac à dos,SUB,,
sainte nitouche,SUB,,
salle à manger,SUB,,
salle de bains,SUB,,
sans cela,CONJcoord,,
sans cesse,ADV,,
sans compter,PREP,,
sans doute,ADVconj,,
sans perdre de temps,ADV,,
sans plus de,PREP,,
sans pour autant,PREP,,
sans préjudice de,PREP,,
sans que,CONJsub,,
sauf à,PREP,,
savoir bien,VERB,,
scenic railway,SUB,,
sciences humaines,SUB,,
sciences de l'homme,SUB,,
secrétaire de rédaction,SUB,,
secrétaire général,SUB,,
sedia gestatoria,SUB,,
self-made man,SUB,,
sens commun,SUB,,
sens critique,SUB,,
sens unique,SUB,,
se trouver,VERB,,
serrer la main,VERB,,
services sociaux,SUB,,
si bien que,CONJsub,,
si peu que,PREP,,
signe de croix,SUB,,
signe de la croix,SUB,,
signe de tête,SUB,,
sine die,ADV,,
sine qua non,ADV,,
Société des Nations,NAMEorg,,
Société des nations,,,Société des Nations
Son Excellence,NAMEpers,,
sous couleur de,PREP,,
sous couvert de,PREP,,
sous forme de,PREP,,
sous l’ombre de,PREP,,
sous la houlette de,PREP,,
sous la plume de,PREP,,
sous le couvert de,PREP,,
sous le prétexte de,PREP,,
sous le rapport de,PREP,,
sous les yeux de,PREP,,
sous peine de,PREP,,
sous prétexte de,PREP,,
sous réserve de,PREP,,
sous un nouveau jour,PREP,,
soutien gorge,,,soutien-gorge
soutien-gorge,SUB,,
souventes fois,ADV,,
sri lankais,SUB,,
sri lankais,ADJ,,
stabat mater,SUB,,
statu quo,SUB,,
story board,SUB,,
stricto sensu,ADV,,
struggle for life,SUB,,
sui generis,ADJ,,
suite à,PREP,suite à,
suite au,PREP,suite à,
suite aux,PREP,suite à,
supposé que,PREP,,
sur le plan,PREP,,
sur le point de,PREP,,
sursum corda,ADV,,
sus le sujet de,PREP,,
table d’écoute,SUB,,
table de chevet,SUB,,
table des matières,SUB,,
table ronde,SUB,,
Table ronde,,,table ronde
Table Ronde,,,table ronde
taï chi,SUB,,
talavera de la reina,SUB,,
tandis que,CONJsub,,
tant de,DETindef,,
tant et si bien que,PREP,,
tant pis,ADV,,
tant qu’à,PREP,,
tantôt à droite tantôt à gauche,ADV,,
tarte à la crème,SUB,,
te deum,SUB,,
téléphone portable,SUB,,
temps à perdre,SUB,,
tenir compte,VERB,,
tenir lieu de,VERB,,
terme à terme,ADJ,,
ne tenir pas lieu de,,,tenir lieu de
terra incognita,SUB,,
tiers monde,,,Tiers Monde
Tiers Monde,,,Tiers Monde
toile cirée,SUB,,
too much,ADJ,,
top models,SUB,,
tôt ou tard,ADV,,
total général,SUB,,
tour à tour,ADV,,
tous deux,PROindef,,
tous les deux,PROindef,,
tous les trois,PROindef,,
tout de même,ADV,,
tout de suite,ADV,,
tout le monde,SUB,,
toutes les fois,ADV,,
toutes les fois que,CONJsub,,
traveller's chèques,SUB,,
trésorier général,SUB,,
tribunal d’instance,SUB,,
tribunal d’instance,SUB,,
Tribunal de Commerce,SUB,,
tribunal de commerce,,,Tribunal de Commerce
tribunal de Commerce,,,Tribunal de Commerce
trois fois,ADV,,
trois fois par an,ADV,,
trois fois par mois,ADV,,
trois fois par semaine,ADV,,
tss tss,SUB,,
tu autem,SUB,,
tutti frutti,ADV,,
tutti quanti,ADV,,
ultima ratio,SUB,,
un cinquième,DETnum,,
un deuxième,DETnum,,
un dixième,DETnum,,
un douzième,DETnum,,
un huitième,DETnum,,
un neuvième,DETnum,,
un onzième,DETnum,,
un peu de,DETindef,,
un premier,DETnum,,
un quatrième,DETnum,,
un second,DETnum,,
un septième,DETnum,,
un sixième,DETnum,,
un tas de,DETnum,,
un treizième,DETnum,,
un troisième,DETnum,,
un vingtième,DETnum,,
une autre fois,ADV,,
une bonne fois,ADV,,
une bonne fois pour toutes,ADVconj,,
une bonne partie,DET,,
une cinquième,DETnum,,
une deuxième,DETnum,,
une dixième,DETnum,,
une douzième,DETnum,,
une fois,PREP,,
une fois,ADV,,
une fois par an,ADV,,
une fois par mois,ADV,,
une fois par semaine,ADV,,
une fois pour toutes,ADV,,
une fois que,CONJsub,,
une huitième,DETnum,,
une neuvième,DETnum,,
une onzième,DETnum,,
une première,DETnum,,
une quatrième,DETnum,,
une septième,DETnum,,
une sixième,DETnum,,
une treizième,DETnum,,
une troisième,DETnum,,
une vingtième,DETnum,,
urbi et orbi,ADV,,
va pour,PREP,,
vade retro,ADV,,
vae soli,ADV,,
vae victis,ADV,,
valet de chambre,SUB,,
valet de pied,SUB,,
venir à bout,VERB,,
venir de,VERB,,
vent debout contre,PREP,,
verre à vin,SUB,,
vice-président général,SUB,,
vie privée,SUB,,
vie quotidienne,SUB,,
vieille dame,SUB,,
vis à vis,,,vis-à-vis
vis-à-vis,ADV,,
vis-à-vis de,PREP,,
Votre Excellence,NAMEpers,,
vouloir dire,VERB,,
vox populi,SUB,,
vulgum pecus,SUB,,
wait and see,SUB,,
wall street,SUB,,
way of life,SUB,,
week end,SUB,,
world music,SUB,,
y compris,PREP,,
yom kippour,SUB,,
yom kippur,SUB,,
